yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.id,team.id
6,58,1352,170,0,51.33,36,19,51,109,37,15,41.13,45.99,18,7.13,340519,1981
6,5,3060,302,0,100.0,9,34,7,12,0,34,100.0,100.0,0,7.12,870748,1977
5,56,1819,170,0,70.0,17,23,36,92,29,21,49.32,60.13,2,7.12,250351,1963
3,50,1424,172,0,74.63,6,18,25,75,11,17,55.56,66.96,4,7.12,869643,1999
5,60,2559,282,0,75.95,24,31,78,138,23,31,60.0,66.03,6,7.12,358548,5981
8,43,2880,253,0,60.56,16,32,62,105,13,32,73.81,67.74,2,7.12,840220,5981
6,14,2340,338,0,34.15,16,31,84,98,34,26,52.83,49.0,16,7.12,273329,1963
3,14,2970,111,0,93.33,2,33,0,14,0,33,0.0,93.33,0,7.12,17785,1961
5,17,2297,486,1,35.42,72,28,202,219,40,25,52.6,50.69,59,7.11,844096,1961
0,8,3150,332,0,100.0,3,35,5,13,0,35,62.5,81.25,0,7.11,358524,1955
1,4,1089,198,0,50.0,10,18,57,61,18,13,60.0,59.22,3,7.11,82576,1963
1,9,3195,358,0,81.82,4,36,2,11,0,36,66.67,78.57,0,7.11,871290,1958
4,8,2373,495,0,40.0,25,30,118,126,22,28,47.01,46.49,56,7.11,255873,1955
0,7,859,113,0,63.64,20,15,79,86,11,9,67.52,67.19,5,7.11,1105970,1957
3,23,1347,182,0,60.53,42,15,63,86,10,15,59.43,59.72,13,7.11,777341,1957
0,4,135,21,0,66.67,0,2,0,4,2,1,0.0,50.0,0,7.1,583824,1982
0,0,90,13,0,0.0,0,1,2,2,0,1,50.0,33.33,0,7.1,931574,1968
1,0,76,3,0,0.0,0,1,1,1,4,1,20.0,20.0,0,7.1,1111123,1999
3,28,1121,102,0,71.79,6,15,26,54,8,12,65.0,68.35,1,7.09,44691,1974
5,134,2640,350,0,69.43,21,30,89,223,25,30,66.92,68.4,3,7.08,1047740,1968
3,3,3150,244,0,100.0,5,35,4,7,1,35,66.67,77.78,0,7.08,124980,1954
1,9,1557,257,0,33.33,56,19,106,115,13,18,56.08,53.24,28,7.08,1106839,5926
3,31,1166,145,0,62.0,4,13,29,60,13,13,52.73,57.14,3,7.08,1199282,1957
4,40,1986,137,1,61.54,10,23,43,83,28,22,49.43,54.61,2,7.07,874729,1963
5,32,2102,391,0,52.46,31,26,104,136,21,22,61.9,59.39,10,7.07,243113,1966
4,22,2549,318,1,37.93,73,30,151,173,47,29,53.17,50.58,32,7.07,611876,5981
5,96,2911,223,1,67.61,19,34,49,145,19,34,65.33,66.82,0,7.07,795261,1958
2,9,205,26,0,90.0,1,3,7,16,2,2,77.78,84.21,0,7.07,1129429,2020
2,10,2970,232,0,83.33,6,33,7,17,0,33,87.5,85.0,0,7.07,243529,1963
0,27,2064,396,0,36.49,39,32,88,115,11,30,50.87,46.56,33,7.07,558820,5926
10,12,2515,195,1,48.0,47,29,139,151,39,28,60.43,59.22,15,7.07,1035996,1961
7,10,1249,318,0,50.0,24,22,86,96,24,18,51.5,51.34,15,7.06,906837,1999
3,27,1129,89,0,64.29,3,13,24,51,10,12,61.54,62.96,3,7.06,875402,1981
1,2,450,61,0,100.0,1,5,1,3,0,5,100.0,100.0,0,7.06,874979,1981
4,26,2653,457,0,32.91,55,33,141,167,24,28,52.22,47.85,42,7.06,817650,1954
4,7,1259,275,0,50.0,27,18,67,74,7,17,60.91,59.68,9,7.06,17787,1961
6,11,1769,275,1,33.33,15,28,48,59,40,23,38.1,37.11,16,7.05,109610,1960
0,2,265,32,0,50.0,4,6,17,19,4,4,50.0,50.0,5,7.05,904505,1958
2,7,346,39,0,70.0,7,4,18,25,6,4,60.0,62.5,3,7.05,897617,1954
2,26,1020,107,0,54.17,8,13,35,61,14,11,58.33,56.48,5,7.05,925189,1999
9,73,2970,303,0,64.6,22,33,68,141,30,33,57.63,61.04,5,7.05,587148,1958
7,36,1980,192,0,58.06,14,22,40,76,18,22,57.97,58.02,5,7.05,1108441,1981
2,7,3240,251,0,100.0,2,36,2,9,0,36,100.0,100.0,0,7.04,595598,1974
1,16,2970,344,0,84.21,11,33,9,25,0,33,81.82,83.33,0,7.04,552172,1960
0,8,384,91,1,47.06,11,8,17,25,10,4,53.13,51.02,3,7.04,243425,1974
2,14,3219,219,0,93.33,6,36,3,17,1,36,60.0,85.0,0,7.04,27756,1957
8,18,2504,502,2,48.65,28,28,89,107,32,28,53.94,52.97,17,7.03,243109,5926
5,14,1485,303,0,43.75,25,22,108,122,17,17,56.25,54.46,17,7.03,787607,1961
2,5,610,98,0,33.33,14,14,40,45,14,6,62.5,56.96,6,7.03,874030,1977
5,8,1674,217,0,47.06,30,26,61,69,15,19,57.01,55.65,11,7.03,116853,1961
1,10,1215,179,0,62.5,22,23,58,68,11,15,58.59,59.13,12,7.03,34152,1957
1,5,360,25,0,55.56,1,4,4,9,5,4,44.44,50.0,0,7.03,841129,1977
6,7,3030,299,0,87.5,4,34,5,12,1,34,83.33,85.71,0,7.02,795177,1968
0,8,810,60,0,88.89,2,9,3,11,1,9,75.0,84.62,0,7.02,839762,1973
2,10,1884,307,0,41.67,35,29,86,96,13,22,53.09,51.61,18,7.02,841128,1963
9,12,1979,217,1,52.17,21,24,67,79,23,22,61.47,59.85,2,7.02,12634,1981
0,91,2411,487,0,67.91,9,29,87,178,11,27,59.18,63.35,7,7.02,330057,2020
3,32,2811,261,0,55.17,8,34,51,83,25,31,47.66,50.3,3,7.02,840202,1958
1,13,776,121,0,56.52,17,20,39,52,9,7,60.0,59.09,8,7.02,139300,1954
1,21,1000,110,0,70.0,3,15,24,45,15,11,52.17,59.21,1,7.02,21300,5981
1,24,2215,369,1,45.28,24,26,76,100,18,25,59.38,55.25,11,7.02,1127439,1977
3,12,3150,235,0,100.0,4,35,2,14,1,35,66.67,93.33,0,7.02,329055,49202
1,3,480,79,0,27.27,2,6,14,17,4,6,60.87,50.0,2,7.02,1017746,1967
6,61,2325,228,0,66.3,22,31,96,157,45,28,50.26,55.48,14,7.02,874063,1967
8,6,1855,280,0,37.5,32,31,116,122,37,22,54.46,53.28,32,7.02,1175760,49202
7,21,2246,288,0,55.26,28,31,163,184,47,29,55.82,55.76,21,7.01,840150,1999
3,44,2151,270,0,41.12,40,31,67,111,22,30,49.26,45.68,25,7.01,143846,1999
3,32,1312,148,2,71.11,13,16,34,66,9,15,61.82,66.0,2,7.01,867907,1954
1,53,1802,187,1,47.32,19,24,32,85,18,22,36.36,42.5,14,7.01,345847,1973
6,135,2822,406,0,55.33,68,34,100,235,33,33,54.64,55.04,24,7.0,270287,49202
3,29,2497,229,0,30.21,59,29,84,113,35,29,47.73,41.54,33,7.0,1047227,1968
0,0,25,4,0,0.0,0,4,2,2,0,0,40.0,33.33,0,7.0,1495892,1982
2,36,975,113,0,70.59,8,13,29,65,14,10,59.18,65.0,0,7.0,1117710,1955
0,0,71,6,0,0.0,3,1,6,6,1,1,75.0,75.0,1,7.0,1175765,1981
0,0,90,3,0,0.0,0,1,0,0,0,1,0.0,0.0,0,7.0,927666,1961
0,0,13,3,0,0.0,0,1,2,2,0,0,100.0,66.67,0,7.0,1585334,1954
4,3,1202,193,0,18.75,48,23,87,90,20,13,51.48,48.65,13,7.0,1106140,1955
1,12,1615,257,0,30.0,23,31,106,118,19,19,47.96,45.21,25,6.99,386198,5981
3,10,2790,298,0,100.0,3,31,3,13,2,31,50.0,81.25,0,6.99,1016104,1967
5,13,1074,167,0,65.0,39,13,90,103,33,13,54.22,55.38,15,6.99,943044,1960
8,26,1853,230,1,49.06,32,24,74,100,28,22,50.68,50.25,17,6.99,13630,1967
3,22,855,75,0,55.0,6,11,17,39,14,10,45.95,50.65,0,6.99,551774,1967
6,12,2162,325,1,48.0,42,33,120,132,44,28,50.21,50.0,18,6.99,244589,1968
7,15,2406,210,1,65.22,25,30,101,116,58,27,45.5,47.35,17,6.99,1120721,1981
9,70,2698,173,0,63.64,8,30,49,119,29,30,50.0,57.21,2,6.99,106402,1957
10,19,2083,336,0,38.0,50,28,152,171,41,22,50.33,48.58,40,6.99,846413,1967
3,6,2275,298,0,22.22,25,31,127,133,25,25,52.7,49.63,24,6.98,247483,1966
4,12,1606,186,0,48.0,31,24,65,77,16,20,55.56,54.23,9,6.98,986233,1966
4,23,1876,367,0,46.0,46,30,129,152,36,20,58.9,56.51,17,6.98,871273,1967
6,87,3033,274,0,57.24,17,34,51,138,23,34,60.71,58.47,5,6.98,845110,1954
1,35,1548,292,0,55.56,37,21,87,122,23,17,57.62,57.01,9,6.98,795014,1960
3,1,1384,273,2,8.33,50,20,122,123,8,15,54.22,51.9,43,6.98,789960,1968
8,80,2690,250,0,62.02,18,31,58,138,37,30,56.31,59.48,0,6.98,33106,1967
5,17,1606,265,0,47.22,28,24,77,94,40,21,46.67,46.77,18,6.98,974556,1963
5,26,2470,383,0,56.52,23,28,85,111,14,28,49.71,51.15,17,6.98,881110,1963
4,67,2115,166,2,65.69,25,25,49,116,23,25,60.49,63.39,3,6.98,870788,1961
4,11,1654,274,0,47.83,39,20,94,105,32,20,47.96,47.95,28,6.98,927975,1968
6,13,2467,262,1,40.63,31,28,135,148,49,28,45.76,45.26,18,6.97,1139775,5926
6,5,2288,405,0,13.89,56,32,138,143,29,26,50.0,45.83,47,6.97,124997,1966
4,10,821,168,0,50.0,12,16,56,66,20,7,49.12,49.25,7,6.97,1019652,1955
1,9,2790,204,0,81.82,4,31,5,14,0,31,83.33,82.35,0,6.96,33132,1981
2,28,1549,262,0,58.33,32,22,70,98,24,18,55.12,56.0,9,6.96,981703,1957
2,16,468,31,0,66.67,2,8,6,22,3,5,60.0,64.71,0,6.96,963990,1967
1,9,879,164,0,36.0,18,13,31,40,12,10,44.29,42.11,8,6.96,377238,1954
6,22,1635,182,0,36.67,51,24,101,123,34,18,46.98,44.73,32,6.96,1150391,1967
3,10,776,138,0,47.62,5,13,48,58,12,9,57.14,55.24,7,6.96,1021721,1974
1,25,995,58,0,71.43,14,14,34,59,8,12,73.91,72.84,0,6.96,809194,49202
1,0,384,57,0,0.0,0,7,14,14,4,4,58.33,51.85,1,6.96,859083,2020
2,31,1419,248,0,68.89,9,19,43,74,34,16,46.74,54.01,6,6.95,1017827,1960
1,6,107,8,0,85.71,0,2,0,6,1,1,0.0,66.67,0,6.95,988873,1961
2,2,1351,214,0,13.33,49,27,106,108,11,14,59.22,55.67,24,6.95,1046796,2020
4,36,1303,204,0,52.94,18,22,109,145,34,14,56.48,55.56,19,6.95,1093196,1977
1,9,999,177,0,39.13,9,15,31,40,9,13,52.54,48.78,4,6.95,984896,1967
7,50,2548,245,1,62.5,30,31,132,182,61,30,51.36,54.01,14,6.95,868030,1955
4,16,2321,409,0,30.77,26,27,113,129,33,26,59.47,53.31,15,6.94,850023,1966
3,5,451,30,0,41.67,8,9,28,33,5,5,77.78,68.75,1,6.94,26029,5981
9,109,2582,293,2,63.74,22,30,82,191,36,30,57.75,61.02,2,6.94,220833,1963
10,88,2719,331,0,67.69,64,33,144,232,36,32,58.06,61.38,17,6.94,866392,49202
8,60,2450,226,2,72.29,9,28,54,114,24,28,54.0,62.3,6,6.94,905450,1960
4,20,1064,93,0,68.97,17,14,52,72,31,12,44.83,49.66,10,6.94,46798,1968
3,25,1413,171,0,39.06,19,25,44,69,23,14,43.56,41.82,15,6.93,374486,1967
1,8,1476,257,0,50.0,39,21,69,77,14,20,47.26,47.53,18,6.93,811308,49202
1,13,1933,300,0,32.5,18,33,88,101,19,25,49.72,46.54,13,6.93,824626,2020
0,3,637,112,0,50.0,8,12,27,30,10,9,47.37,47.62,14,6.93,107414,1981
8,10,2383,162,0,33.33,11,29,36,46,32,27,35.29,34.85,11,6.93,33238,1961
7,26,1597,168,0,50.98,25,21,82,108,25,20,58.99,56.84,16,6.93,990169,1966
8,24,2129,148,0,47.06,12,25,85,109,43,25,47.49,47.39,4,6.93,552686,1977
7,16,2430,331,0,38.1,72,33,156,172,36,25,53.98,51.96,42,6.93,807850,1961
3,41,896,132,0,67.21,5,20,31,72,17,9,45.59,55.81,10,6.93,905459,1999
6,36,1740,143,0,59.02,4,22,29,65,19,20,47.54,53.28,2,6.93,995293,1981
5,50,2583,357,0,58.82,52,30,147,197,54,29,54.44,55.49,19,6.92,870691,2020
6,31,2560,511,0,52.54,47,32,141,172,42,30,50.36,50.74,11,6.92,604274,1954
6,5,2234,466,0,18.52,73,30,190,195,25,26,53.22,50.78,47,6.92,848472,1982
6,83,2095,267,0,59.71,29,32,54,137,27,24,45.0,52.9,19,6.92,386212,1955
6,12,1812,270,0,52.17,39,31,127,139,33,20,56.95,56.5,24,6.92,931479,49202
3,6,1010,183,0,40.0,14,21,30,36,15,12,36.59,37.11,6,6.91,146599,49202
8,39,1594,195,0,68.42,19,24,83,122,40,19,53.21,57.28,16,6.91,551422,2020
3,18,2028,237,0,29.51,44,31,131,149,29,26,53.47,48.69,23,6.91,799634,1958
5,18,2274,254,0,43.9,24,35,72,90,31,22,52.94,50.85,8,6.91,844601,1954
4,14,1441,204,0,30.43,41,29,86,100,41,16,46.99,43.67,21,6.9,1174937,1963
5,12,2457,334,0,25.53,50,35,142,154,31,27,47.33,44.38,35,6.9,995072,1974
6,63,2654,311,0,42.57,70,33,115,178,63,31,48.12,45.99,35,6.9,905463,1957
4,11,1651,262,0,34.38,52,25,108,119,23,19,52.94,50.42,31,6.9,354510,1968
10,21,2418,240,0,44.68,65,29,167,188,61,29,48.97,48.45,22,6.9,329069,1963
2,31,887,72,0,46.97,18,13,29,60,16,12,56.86,51.28,6,6.9,880169,1960
0,1,45,9,0,50.0,0,1,1,2,0,1,33.33,40.0,1,6.9,36684,1961
0,0,10,1,0,0.0,1,1,3,3,1,0,75.0,75.0,0,6.9,1116660,1966
0,0,45,2,0,0.0,0,1,0,0,0,0,0.0,0.0,0,6.9,840027,1958
0,0,24,5,0,0.0,0,2,2,2,0,0,66.67,66.67,0,6.9,1382913,1961
5,8,2790,307,0,100.0,8,31,6,14,0,31,75.0,87.5,0,6.9,1111770,5926
5,13,1953,227,0,38.24,50,32,98,111,24,22,56.32,53.37,27,6.9,282557,1981
1,19,1308,240,0,51.35,19,27,65,84,23,15,52.42,52.17,14,6.9,913598,1977
3,18,1110,80,0,58.06,7,15,19,37,8,12,65.52,61.67,0,6.89,959006,1957
5,27,1245,196,0,57.45,42,19,101,128,21,15,54.59,55.17,20,6.89,796925,1960
7,9,1640,287,0,23.08,56,27,135,144,36,19,50.0,46.6,34,6.89,1005177,1960
4,9,2564,301,0,31.03,39,33,125,134,54,31,44.8,43.51,34,6.89,1008832,2020
0,2,712,146,0,25.0,15,15,35,37,3,6,59.32,55.22,9,6.89,14216,1974
2,15,1102,114,0,50.0,10,15,26,41,11,13,59.09,55.41,3,6.89,973737,1977
8,31,2495,360,0,53.45,47,33,151,182,39,28,54.91,54.65,31,6.88,818473,5981
1,6,1198,158,0,23.08,22,19,64,70,28,12,52.03,46.98,8,6.88,981733,1967
7,59,2024,182,0,67.05,11,25,49,108,47,23,43.75,54.0,5,6.88,840247,1954
3,11,896,145,0,40.74,21,18,38,49,26,8,41.3,41.18,10,6.88,345113,1966
5,39,1605,154,0,54.17,9,18,38,77,27,18,47.5,50.66,6,6.88,929200,1967
3,1,413,50,0,9.09,0,6,10,11,7,6,38.46,29.73,1,6.88,330693,1954
0,0,133,34,0,0.0,5,6,15,15,2,0,62.5,62.5,4,6.88,1175259,1973
0,19,353,24,0,73.08,1,6,6,25,6,3,54.55,67.57,0,6.88,243735,5981
1,15,1236,144,0,42.86,51,16,99,114,27,14,59.64,56.72,12,6.88,946945,5926
3,14,1278,217,0,40.0,13,20,82,96,32,12,51.9,49.74,5,6.88,1018915,1958
1,3,900,62,0,75.0,2,10,3,6,0,10,75.0,75.0,0,6.88,914169,1973
7,59,3060,205,0,62.77,17,34,69,128,28,34,57.5,59.81,1,6.88,221206,49202
4,42,2745,270,0,42.86,28,33,102,144,35,33,49.28,47.21,18,6.88,872039,1955
2,23,794,175,1,65.71,8,15,47,70,16,9,43.12,48.61,16,6.88,178407,1958
7,13,1842,332,0,34.21,24,31,91,104,19,20,42.52,41.27,32,6.88,358956,1977
3,10,2766,340,0,90.91,4,31,5,15,0,31,100.0,93.75,0,6.88,147467,1982
4,5,700,128,0,45.45,12,12,37,42,24,12,40.22,40.78,5,6.88,551348,1977
6,11,1611,333,0,57.89,16,30,69,80,20,19,48.25,49.38,17,6.87,865356,1981
4,10,1530,150,0,100.0,9,17,6,16,0,17,85.71,94.12,0,6.87,581060,1966
4,5,1125,246,0,35.71,45,20,90,95,14,14,54.22,52.78,26,6.87,155715,1973
2,17,2017,261,0,36.96,42,33,103,120,37,24,46.82,45.11,31,6.87,291723,1981
7,18,2115,247,0,35.29,40,25,79,97,22,25,58.96,52.43,15,6.87,795773,1961
5,18,1697,297,0,39.13,83,31,150,168,27,19,57.03,54.37,26,6.87,922546,1955
3,1,905,136,0,9.09,13,18,53,54,19,11,48.18,44.63,10,6.87,1047656,1957
5,10,2689,233,0,100.0,11,30,7,17,1,30,87.5,94.44,0,6.87,839761,2020
1,22,1988,189,0,36.07,19,32,52,74,18,24,43.33,40.88,23,6.87,840219,5981
0,27,823,101,1,56.25,11,11,14,41,12,10,29.17,42.71,14,6.86,238708,1982
1,0,640,101,0,0.0,14,16,33,33,8,7,53.23,50.0,10,6.86,840218,1961
1,19,1238,125,0,45.24,40,29,63,82,10,12,64.95,58.99,12,6.86,937552,1963
10,5,1940,394,0,31.25,37,28,92,97,22,20,59.35,56.73,11,6.86,25554,1957
4,5,677,126,0,50.0,5,15,53,58,12,6,46.9,47.15,18,6.86,974698,2020
2,8,362,59,0,53.33,6,5,14,22,2,4,58.33,56.41,4,6.86,1002528,1981
6,18,1499,142,1,54.55,50,27,104,122,35,15,57.14,56.74,5,6.86,268419,1974
3,8,724,107,0,33.33,9,12,23,31,18,10,30.26,31.0,8,6.86,243497,1973
3,8,1111,101,0,30.77,3,14,12,20,11,12,40.0,35.71,0,6.86,1002565,1999
4,8,2499,422,0,32.0,62,34,168,176,29,28,50.0,48.75,27,6.86,794312,1973
6,39,2046,184,0,59.09,30,29,83,122,33,26,55.33,56.48,10,6.86,295167,1960
5,27,2610,307,1,33.75,49,33,85,112,39,31,45.21,41.79,21,6.85,76507,1958
5,33,1821,248,0,37.08,30,32,72,105,12,19,48.32,44.12,31,6.85,165677,2020
2,4,606,177,0,80.0,23,17,51,55,15,7,46.79,48.25,19,6.85,846411,1961
1,2,103,8,0,25.0,3,4,4,6,6,1,40.0,33.33,1,6.85,1047683,1958
1,0,33,4,0,0.0,0,2,1,1,1,0,25.0,25.0,0,6.85,1101437,1958
5,6,1384,236,0,23.08,4,20,63,69,27,15,60.0,52.67,0,6.85,40076,1977
0,2,145,14,0,40.0,2,4,9,11,2,1,69.23,61.11,0,6.85,115183,1957
3,13,1761,153,1,33.33,22,26,66,79,39,18,46.15,43.41,18,6.85,1067671,1961
1,5,777,90,0,31.25,7,13,51,56,15,9,50.5,47.86,8,6.85,1104068,2020
4,67,1999,149,0,74.44,13,25,49,116,20,25,64.47,69.88,1,6.84,794838,1955
9,26,1823,195,0,54.17,13,23,57,83,43,20,36.31,40.49,12,6.84,590262,5981
9,80,2672,257,1,61.54,26,30,73,153,42,30,51.77,56.46,7,6.84,789395,2020
2,78,2210,206,0,66.67,9,26,30,108,21,24,53.57,62.43,1,6.84,839765,1968
4,13,1658,100,1,54.17,6,19,31,44,11,19,47.69,49.44,3,6.84,22975,1974
3,3,1459,266,0,21.43,38,29,77,80,18,15,46.11,44.2,24,6.84,145063,5981
2,5,984,185,0,38.46,29,23,80,85,7,4,50.63,49.71,17,6.84,998499,5926
3,8,434,79,0,57.14,10,5,26,34,6,5,61.9,60.71,1,6.84,1107069,49202
1,8,671,129,1,66.67,21,18,60,68,16,8,51.72,53.13,9,6.84,840451,5981
8,49,2736,178,2,53.26,40,31,84,133,39,31,57.14,55.65,8,6.84,871705,1955
1,7,1349,166,0,38.89,39,29,113,120,13,13,63.48,61.22,9,6.84,121264,49202
2,10,442,54,0,41.67,8,9,21,31,3,5,44.68,43.66,8,6.84,1485371,1968
8,45,2861,269,0,51.72,16,32,47,92,19,32,51.09,51.4,8,6.84,373740,49202
3,30,569,82,0,53.57,14,20,34,64,15,5,46.58,49.61,10,6.84,1094179,1963
4,24,657,84,0,75.0,5,16,29,53,12,5,60.42,66.25,2,6.83,1105796,5926
2,11,1560,315,0,30.56,24,18,65,76,21,17,49.62,45.51,15,6.83,1087079,1967
3,40,2270,348,0,64.52,17,29,87,127,23,26,53.7,56.7,8,6.83,1102383,49202
8,5,2489,246,0,29.41,47,34,109,114,38,30,50.23,48.72,32,6.83,840398,1958
1,12,398,85,1,66.67,8,14,39,51,9,3,52.7,55.43,7,6.82,1403439,1974
0,3,1258,208,0,30.0,8,32,56,59,6,11,51.38,49.58,19,6.82,977679,1958
3,45,1589,170,0,53.57,6,19,36,81,21,18,52.94,53.29,2,6.82,977676,1999
1,4,543,36,0,40.0,2,10,17,21,9,5,53.13,50.0,1,6.82,1167068,1963
2,7,625,77,0,53.85,6,11,28,35,5,7,60.87,59.32,2,6.82,931540,5981
5,20,1051,129,0,68.97,8,17,65,85,17,14,52.0,55.19,9,6.82,1485309,1957
3,6,915,86,0,33.33,13,17,67,73,26,9,53.6,51.05,2,6.82,123225,2020
13,57,2285,373,0,47.5,47,31,116,173,60,29,42.8,44.25,38,6.82,850987,1982
3,37,1185,157,0,61.67,16,22,30,67,17,12,56.6,59.29,1,6.81,243439,1967
2,22,1965,170,0,34.38,29,29,49,71,29,22,40.16,38.17,23,6.81,359024,2020
7,39,1935,177,0,49.37,9,22,56,95,27,22,54.9,52.49,1,6.81,590324,1982
6,28,1732,157,0,50.0,22,22,77,105,42,19,51.68,51.22,13,6.81,158257,1977
4,14,1936,284,0,43.75,34,26,119,133,17,21,56.13,54.51,23,6.81,931591,1981
0,1,170,25,0,50.0,4,9,13,14,1,1,68.42,66.67,1,6.81,32164,1981
3,18,775,72,0,58.06,4,9,12,30,5,9,63.16,60.0,1,6.81,810715,1955
3,28,1641,130,0,32.56,29,30,44,72,21,19,48.35,40.68,10,6.81,835260,1963
7,42,1304,188,1,45.16,13,31,34,76,41,9,29.82,36.71,22,6.81,1018547,1999
2,31,2078,391,0,40.26,36,35,145,176,37,29,47.85,46.32,42,6.81,922559,1958
4,5,1640,193,0,20.0,28,35,56,61,10,15,50.91,45.19,18,6.81,363688,2020
4,17,1107,101,0,29.82,11,20,25,42,21,14,39.68,35.0,8,6.81,158561,1954
1,16,1238,153,0,47.06,23,28,86,102,11,12,58.9,56.67,16,6.8,1170954,5981
9,46,2394,178,0,56.79,19,31,51,97,42,26,43.22,48.74,5,6.8,328519,1977
6,26,2607,229,0,68.42,17,32,57,83,22,29,61.96,63.85,7,6.8,360940,1974
1,5,513,88,0,26.32,8,12,30,35,9,4,40.54,37.63,13,6.8,1105305,1973
1,13,414,42,0,72.22,3,8,13,26,4,5,61.9,66.67,0,6.8,1587711,5926
0,5,488,96,0,55.56,3,12,16,21,3,4,53.33,53.85,2,6.8,1017264,1955
0,2,123,45,0,33.33,2,6,9,11,3,0,69.23,57.89,0,6.8,830742,1974
0,2,124,9,0,50.0,2,4,6,8,3,2,60.0,57.14,0,6.8,215956,1958
2,4,484,68,1,57.14,5,9,41,45,12,8,59.42,59.21,1,6.8,39623,1958
3,7,478,26,0,46.67,3,7,5,12,2,5,41.67,44.44,2,6.8,72080,1966
1,6,202,19,0,33.33,2,3,6,12,4,2,66.67,44.44,0,6.8,1410337,1999
0,0,41,4,0,0.0,1,2,1,1,0,0,100.0,100.0,0,6.8,1159656,1968
1,1,19,5,0,100.0,0,1,0,1,0,0,0.0,100.0,0,6.8,973738,1957
1,0,12,0,0,0.0,0,1,1,1,0,0,100.0,100.0,0,6.8,870697,1974
1,0,35,2,0,0.0,0,1,1,1,0,0,100.0,100.0,0,6.8,42109,1960
0,0,17,1,0,0.0,1,1,1,1,1,0,50.0,50.0,0,6.8,870920,49202
0,0,11,1,0,0.0,1,1,2,2,0,0,100.0,100.0,0,6.8,1199453,1999
