,name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image,goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,tackles,errorLeadToGoal,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,cleanSheet,savedShotsFromOutsideTheBox,runsOut,penaltyFaced,goalsConcededInsideTheBox,successfulRunsOut,penaltySave,goalsConcededOutsideTheBox,highClaims,bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed
20,Matheus Mendes,matheus-mendes,M. Mendes,G,194.0,Both,137,1018555,31.0,1999-03-10,2026-12-31,1977,260000.0,BR,Brazil,260000.0,EUR,https://api.sofascore.app/api/v1/player/1018555/image,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,7,5,0,0,1,2,0,0,1,0,0,0,2,0,62,1,21,0,58.06,1,45.65,36,21,0,0,26,15,0.0,2,1,180,26,0,100.0,0,2,0,1,0,2,0.0,100.0,0
21,Moisés,moises,Moisés,F,177.0,Right,417,1046501,10.0,1996-09-02,,1947,1400000.0,BR,Brazil,1400000.0,EUR,https://api.sofascore.app/api/v1/player/1046501/image,3,51.72,2,0,0,0,2.5,17,17.65,0,0,2,2,12,0,0,0,0.0,15,3,0,3,3,0.0,3,0,3,0,0,0,1,8,0,0,0,0,0,0,0,0,3,0,0,2,0,3,107,39,4,0,79.44,6,100.0,85,20,3,0,22,68,33.33,1,7,371,58,0,58.33,3,6,20,27,2,5,40.0,43.55,7
22,Alef Manga,manga-alef,A. Manga,M,190.0,Right,501,954719,11.0,1994-11-29,2025-12-31,1982,2100000.0,BR,Brazil,2100000.0,EUR,https://api.sofascore.app/api/v1/player/954719/image,4,68.0,8,0,1,0,3.77,27,14.81,0,0,8,3,12,1,0,0,100.0,17,7,1,3,4,0.0,10,0,3,0,0,0,5,3,0,0,0,0,1,0,0,0,13,0,0,4,0,1,232,79,8,3,79.74,18,66.67,185,58,2,0,47,129,18.18,3,11,804,97,0,42.31,11,10,38,49,10,9,55.07,51.58,10
23,Pablo Vegetti,pablo-vegetti,Pablo Vegetti,F,187.0,Right,2050,583974,99.0,1988-10-15,2025-06-30,1974,485000.0,AR,Argentina,485000.0,EUR,https://api.sofascore.app/api/v1/player/583974/image,10,50.0,10,1,0,3,9.82,70,14.29,0,3,14,12,30,2,0,0,100.0,6,30,2,10,7,0.0,7,0,4,0,0,0,30,13,0,0,0,0,5,0,0,0,16,0,0,3,0,1,290,42,6,1,61.72,5,50.0,179,80,1,0,111,100,7.69,2,99,1614,185,1,50.51,40,19,51,150,30,18,45.95,48.86,18
24,Lucas Veríssimo,lucas-verissimo,L. Veríssimo,D,188.0,Right,1928,826343,3.0,1995-07-02,2024-06-30,1957,6200000.0,BR,Brazil,6200000.0,EUR,https://api.sofascore.app/api/v1/player/826343/image,1,50.0,2,0,0,0,0.74,12,8.33,0,1,4,0,3,0,0,0,0.0,2,7,0,1,0,0.0,19,0,10,0,0,0,71,3,0,0,0,0,4,0,0,0,15,0,0,2,0,2,732,38,38,2,89.75,3,67.86,657,453,0,0,75,204,0.0,4,49,1215,84,0,63.64,3,14,24,73,14,14,58.54,61.86,0
25,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,181.0,Left,519,331397,8.0,1995-05-06,2026-06-30,1999,3800000.0,BR,Brazil,3800000.0,EUR,https://api.sofascore.app/api/v1/player/331397/image,1,50.0,21,0,0,1,3.63,64,1.56,4,0,2,3,12,0,0,1,0.0,29,31,0,1,0,0.0,50,0,25,0,0,0,19,28,0,0,0,0,13,0,0,0,19,0,0,1,0,9,1269,463,35,6,82.19,73,67.31,1043,283,48,0,226,808,28.57,6,67,2550,489,0,46.53,69,31,147,214,37,30,51.22,49.65,48
26,Paulinho,paulinho,Paulinho,F,175.0,Right,4253,885179,10.0,2000-07-15,2026-12-31,1977,9600000.0,BR,Brazil,9600000.0,EUR,https://api.sofascore.app/api/v1/player/885179/image,18,52.75,18,0,1,1,14.18,87,20.69,0,2,10,15,46,0,0,5,0.0,48,23,0,17,11,0.0,39,0,17,0,0,0,16,19,0,0,0,0,4,0,0,0,17,0,0,4,0,2,965,311,18,2,82.69,35,81.82,798,247,3,0,167,554,16.67,1,24,2822,353,0,43.64,23,34,109,133,19,33,49.32,48.19,32
27,Mauricio Lemos,mauricio-lemos,M. Lemos,D,186.0,Right,549,385916,28.0,1995-12-28,2025-12-31,1977,1400000.0,UY,Uruguay,1400000.0,EUR,https://api.sofascore.app/api/v1/player/385916/image,1,80.0,3,0,0,1,1.14,21,4.76,5,0,2,2,7,0,0,1,0.0,4,11,0,1,0,0.0,41,0,42,0,0,0,111,8,0,0,0,0,6,0,0,0,17,0,0,2,0,0,1244,87,133,0,83.6,2,53.41,1040,719,0,0,204,321,0.0,10,61,2226,227,1,59.8,17,27,61,122,25,25,60.4,60.1,6
28,Lucas Silva,lucas-silva,L. Silva,M,182.0,Right,524,245159,16.0,1993-02-16,2024-12-31,1954,720000.0,BR,Brazil,720000.0,EUR,https://api.sofascore.app/api/v1/player/245159/image,0,73.33,4,0,0,0,0.82,16,0.0,2,0,1,1,4,0,0,0,0.0,33,8,0,0,0,0.0,33,0,9,0,0,0,8,7,0,0,0,0,2,0,0,0,15,0,0,3,0,2,907,226,61,2,85.34,46,75.31,774,315,27,0,133,486,38.57,2,19,1549,239,0,45.24,22,22,88,107,21,19,59.86,56.61,22
29,Juninho Capixaba,juninho-capixaba,Juninho Capixaba,D,176.0,Left,549,870556,29.0,1997-07-06,2026-12-31,1999,1200000.0,BR,Brazil,1200000.0,EUR,https://api.sofascore.app/api/v1/player/870556/image,2,44.0,12,0,1,1,2.73,49,4.08,2,1,3,2,20,0,0,1,0.0,22,17,0,1,0,0.0,66,1,77,2,0,0,76,52,0,0,0,0,12,0,0,0,25,0,0,1,0,5,1683,421,115,1,79.44,57,61.83,1337,534,19,1,346,822,19.79,11,56,2811,574,0,51.85,59,33,147,203,66,32,48.04,49.03,19
