tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.id,team.id
39,0,2,29,1,0,0,31,30,6.8,860003,7628
41,0,4,15,0,0,0,34,21,6.8,1084963,3218
27,0,2,18,0,0,0,26,15,6.8,924891,42338
1,0,0,1,0,0,0,0,0,6.8,1485373,3206
17,0,0,3,0,1,0,10,7,6.8,924198,3216
23,0,4,22,0,0,1,44,7,6.8,990283,3208
1,0,0,0,0,0,0,0,1,6.8,1199319,3219
3,0,0,1,0,0,0,5,2,6.8,1017474,3218
0,0,0,0,0,0,0,0,0,6.8,876723,3203
1,0,0,1,0,0,0,0,0,6.8,1464854,3203
1,0,0,2,0,0,0,2,0,6.8,1508167,3207
0,0,0,1,0,0,0,0,0,6.8,1515402,3204
3,0,0,0,0,0,0,0,0,6.8,1130761,36833
6,0,0,7,0,0,0,3,6,6.8,546338,3218
1,0,1,5,0,0,0,8,0,6.8,1496360,3203
10,0,0,3,0,0,0,9,4,6.8,1210616,65676
7,0,0,1,1,0,0,5,5,6.8,892275,3202
25,0,2,8,0,0,0,3,22,6.8,1018426,7629
0,0,6,1,0,0,0,13,1,6.79,34182,3208
17,0,3,8,0,0,0,18,6,6.79,944621,3203
17,0,6,14,0,1,0,56,6,6.79,376734,3217
49,0,4,33,0,0,0,12,30,6.79,941092,3207
39,1,3,26,1,1,0,27,22,6.79,830747,36833
10,0,2,8,1,0,0,53,3,6.79,385746,36837
45,0,2,17,0,0,0,21,30,6.79,1018402,36837
11,0,0,5,0,0,0,4,6,6.79,122711,7629
52,1,9,29,0,0,0,55,17,6.79,895593,3219
3,0,0,3,0,0,0,8,2,6.79,877628,3217
33,0,0,12,0,1,0,10,14,6.79,981350,3207
36,0,3,11,0,0,0,6,18,6.79,874576,3216
49,0,6,21,0,0,0,19,34,6.79,1084967,6074
0,0,0,0,0,0,0,12,4,6.79,129862,36837
32,0,7,25,1,0,0,68,12,6.79,1190570,65668
18,0,12,41,0,0,1,95,10,6.79,830672,3203
29,0,3,9,0,1,0,32,12,6.78,1085929,3205
24,0,1,16,0,0,0,11,34,6.78,980190,3218
43,0,1,19,0,0,0,26,15,6.78,974729,3203
28,0,3,9,0,0,0,8,23,6.78,1108451,6074
12,0,2,1,0,0,0,7,6,6.78,1190083,3208
25,0,4,20,0,1,0,41,10,6.78,1186010,3208
0,2,5,1,0,0,0,9,1,6.78,757762,65676
17,0,3,25,0,0,1,16,3,6.78,860046,3212
6,0,0,0,0,0,0,10,4,6.78,35532,3211
11,0,1,5,0,0,0,1,7,6.78,997539,3216
20,0,0,4,0,0,0,5,19,6.78,1018412,4937
19,1,7,16,0,0,0,27,13,6.77,794006,3206
28,0,10,25,0,0,0,91,16,6.77,1102816,36833
21,0,2,8,1,0,0,17,10,6.77,249271,3206
19,0,3,7,0,0,0,11,14,6.77,1106603,3201
86,0,8,29,0,1,0,33,46,6.77,285429,3204
52,0,7,21,1,0,0,21,31,6.77,849136,3212
47,0,8,29,0,1,0,51,31,6.77,990289,3217
16,0,0,8,0,0,0,8,7,6.77,1163996,3209
43,0,4,12,0,0,0,41,22,6.77,579356,3221
17,0,2,4,0,0,0,10,14,6.77,903286,7629
9,0,0,13,0,0,1,29,0,6.77,871794,6074
2,0,1,5,0,0,0,21,1,6.77,31980,3211
7,0,0,3,0,0,0,16,9,6.77,943996,7629
15,0,0,6,0,0,0,5,6,6.77,988327,7629
1,0,0,1,0,0,0,2,0,6.77,1406702,3212
4,0,0,0,0,0,0,0,0,6.77,941410,3218
4,0,0,2,0,0,0,5,1,6.77,1201520,3218
11,0,1,3,0,0,0,11,11,6.77,1020191,6074
38,0,5,14,0,0,0,23,17,6.77,800246,3212
20,0,6,15,1,0,0,55,8,6.76,1113232,3219
20,0,2,10,0,0,0,12,7,6.76,358924,36839
7,0,3,4,0,0,0,8,6,6.76,992080,7628
28,0,3,10,0,0,0,42,10,6.76,1189173,3204
37,0,1,12,1,0,0,7,34,6.76,1092354,3203
15,0,3,4,0,0,0,3,11,6.76,984926,3201
51,0,3,27,0,0,0,30,34,6.76,989862,3215
76,0,9,47,0,0,0,37,64,6.76,1180814,3217
46,0,7,23,0,1,0,65,25,6.76,1105366,42338
21,0,1,5,0,0,0,19,10,6.76,1017181,3204
25,0,1,17,0,0,0,13,12,6.76,822594,3207
30,0,4,14,0,1,0,21,15,6.76,1087079,3204
15,0,2,17,0,0,0,12,2,6.76,926812,4937
2,0,0,0,0,0,0,0,3,6.76,859961,3210
13,0,2,4,0,1,0,39,5,6.76,874964,3211
3,0,0,0,0,0,0,2,3,6.76,922441,7628
33,0,4,8,0,0,0,16,18,6.76,106293,3218
21,0,3,5,0,0,0,5,23,6.75,989990,65676
14,0,2,9,0,0,0,12,9,6.75,922462,36839
2,0,0,2,0,0,0,2,2,6.75,47333,36833
8,0,0,2,0,0,0,1,7,6.75,1199278,3202
38,0,6,32,0,1,0,19,20,6.75,1015662,3212
51,0,4,17,0,0,0,23,56,6.75,846419,6074
6,0,0,2,0,0,0,1,4,6.75,1382064,3217
8,0,0,2,0,0,0,0,5,6.75,158411,3209
14,1,1,8,0,0,0,15,4,6.75,869701,3219
9,0,0,0,0,0,0,1,6,6.75,1467963,3221
4,0,1,0,1,0,0,23,2,6.75,384260,3207
4,0,1,1,0,0,0,6,1,6.75,42450,3206
