goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.05,284359,42338
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.05,340431,4937
1,64.71,1,0,0,0,0.71,13,7.69,0,1,1,0,3,0,0,0,0.0,11,9,0,1,0,0.0,7.05,249643,3210
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.05,221140,3211
0,93.33,2,0,0,0,0.3,6,0.0,0,0,0,0,3,0,0,0,0.0,14,1,0,0,0,0.0,7.05,789640,7629
0,52.69,9,0,0,0,2.29,37,0.0,8,0,7,4,11,0,0,0,0.0,49,17,0,0,0,0.0,7.04,839983,3202
0,68.42,9,0,0,0,0.67,25,0.0,0,0,0,0,4,0,0,0,0.0,26,12,0,0,0,0.0,7.04,989801,3218
1,61.54,8,0,0,0,2.54,41,2.44,13,0,0,0,10,1,0,1,100.0,24,23,1,1,0,0.0,7.04,122912,3219
1,65.22,3,0,1,1,1.06,20,5.0,2,0,2,1,4,0,0,1,0.0,15,13,0,0,0,0.0,7.04,1199053,42338
4,67.44,8,0,1,0,2.94,34,11.76,5,0,6,1,13,0,0,2,0.0,116,13,0,3,2,0.0,7.04,974698,3204
2,70.59,2,0,1,0,1.05,14,14.29,0,0,3,1,8,0,0,2,0.0,24,4,0,1,0,0.0,7.04,1018407,3206
0,100.0,0,0,0,1,0.81,10,0.0,0,0,0,1,1,0,0,0,0.0,3,9,0,0,0,0.0,7.04,1161819,3206
0,57.78,3,2,0,0,0.86,11,0.0,0,0,4,2,0,0,0,0,0.0,26,8,0,0,0,0.0,7.04,932937,3211
0,76.47,2,0,0,1,0.88,18,0.0,1,0,1,1,6,0,0,0,0.0,26,10,0,0,0,0.0,7.03,796958,65676
0,48.57,5,0,0,0,0.8,22,0.0,2,0,1,1,4,0,0,0,0.0,17,13,0,0,0,0.0,7.03,869726,36839
0,100.0,0,0,0,0,0.13,3,0.0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0.0,7.03,358914,3211
0,66.67,1,0,0,1,0.57,8,0.0,0,0,0,0,0,0,0,0,0.0,10,7,0,0,0,0.0,7.03,932903,6074
4,49.55,14,0,0,1,4.46,48,8.33,0,1,2,1,14,1,0,1,100.0,55,20,1,4,2,0.0,7.03,822088,3210
4,48.48,7,0,2,1,2.43,38,10.53,5,1,14,1,17,0,1,3,0.0,32,14,0,2,0,20.0,7.03,868361,36839
3,63.64,2,0,0,0,1.24,15,20.0,0,3,0,2,9,0,0,0,0.0,7,4,0,3,0,0.0,7.03,805427,3212
