name,slug,shortName,position,height,preferredFoot,userCount,player.id,shirtNumber,dateOfBirth,contractUntil,team.id,proposedMarketValue,country.alpha2,country.name,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,player.image
Alejo Veliz,alejo-veliz,A. Veliz,F,187.0,Right,2637,1116987,36.0,2003-09-19,2029-06-30,33,11400000.0,AR,Argentina,11400000.0,EUR,https://api.sofascore.app/api/v1/player/1116987/image
Federico Gattoni,federico-gattoni,F. Gattoni,D,183.0,Right,483,941464,2.0,1999-02-16,2027-06-30,2833,3600000.0,AR,Argentina,3600000.0,EUR,https://api.sofascore.app/api/v1/player/941464/image
Manuel Roffo,manuel-roffo,M. Roffo,G,184.0,Right,95,881166,28.0,2000-04-04,2024-12-31,4937,1500000.0,AR,Argentina,1500000.0,EUR,https://api.sofascore.app/api/v1/player/881166/image
Malcom Braida,malcom-braida,M. Braida,M,175.0,Right,110,994453,21.0,1997-05-17,2024-12-31,3201,3800000.0,AR,Argentina,3800000.0,EUR,https://api.sofascore.app/api/v1/player/994453/image
Matías Mansilla,matias-mansilla,M. Mansilla,G,192.0,Right,14,1099481,22.0,1996-02-15,2025-12-31,65676,775000.0,AR,Argentina,775000.0,EUR,https://api.sofascore.app/api/v1/player/1099481/image
Gabriel Ávalos,gabriel-avalos,G. Ávalos,F,188.0,Right,641,789453,9.0,1990-10-12,2024-12-31,3216,1500000.0,PY,Paraguay,1500000.0,EUR,https://api.sofascore.app/api/v1/player/789453/image
David Barbona,david-barbona,D. Barbona,M,179.0,Right,72,789910,19.0,1995-02-22,2023-12-31,36839,2100000.0,AR,Argentina,2100000.0,EUR,https://api.sofascore.app/api/v1/player/789910/image
Carlos Quintana,carlos-quintana,C. Quintana,D,191.0,Both,38,33202,2.0,1988-02-11,2023-12-31,3217,120000.0,AR,Argentina,120000.0,EUR,https://api.sofascore.app/api/v1/player/33202/image
Matías García,matias-garcia,M. García,M,174.0,Left,44,340863,15.0,1991-10-22,2024-12-31,3203,620000.0,AR,Argentina,620000.0,EUR,https://api.sofascore.app/api/v1/player/340863/image
Pablo Vegetti,pablo-vegetti,Pablo Vegetti,F,187.0,Right,2052,583974,99.0,1988-10-15,2025-06-30,1974,485000.0,AR,Argentina,485000.0,EUR,https://api.sofascore.app/api/v1/player/583974/image
Enzo Pérez,enzo-perez,E. Pérez,M,177.0,Right,543,33958,24.0,1986-02-22,2023-12-31,3211,970000.0,AR,Argentina,970000.0,EUR,https://api.sofascore.app/api/v1/player/33958/image
Jonathan Galván,jonathan-galvan,J. Galván,D,185.0,Right,38,789271,19.0,1992-06-25,2025-12-31,3216,455000.0,AR,Argentina,455000.0,EUR,https://api.sofascore.app/api/v1/player/789271/image
Lucas Merolla,lucas-merolla,L. Merolla,D,193.0,Left,98,833542,19.0,1995-06-27,2026-06-30,1946,3400000.0,AR,Argentina,3400000.0,EUR,https://api.sofascore.app/api/v1/player/833542/image
Rodrigo Gallo,gallo-rodrigo,R. Gallo,D,178.0,Left,4,1003722,3.0,2000-11-04,,3205,,AR,Argentina,,EUR,https://api.sofascore.app/api/v1/player/1003722/image
Aaron Anselmino,anselmino-aaron,A. Anselmino,D,,Right,112,1500263,38.0,2005-04-29,,3202,,AR,Argentina,,EUR,https://api.sofascore.app/api/v1/player/1500263/image
Augusto Batalla,augusto-batalla,A. Batalla,G,186.0,Right,199,358910,13.0,1996-04-30,2023-12-31,3201,5300000.0,AR,Argentina,5300000.0,EUR,https://api.sofascore.app/api/v1/player/358910/image
Gastón Hernández,gaston-hernandez,G. Hernández,D,185.0,Right,99,980886,23.0,1998-01-19,2024-12-31,3201,4300000.0,AR,Argentina,4300000.0,EUR,https://api.sofascore.app/api/v1/player/980886/image
Nicolás Fernández,nicolas-fernandez,N. Fernández,F,175.0,Right,449,581804,29.0,1996-02-08,2025-12-31,36839,5800000.0,AR,Argentina,5800000.0,EUR,https://api.sofascore.app/api/v1/player/581804/image
Javier Cabrera,javier-cabrera,J. Cabrera,M,168.0,Right,126,340087,7.0,1992-03-18,2027-12-31,3216,810000.0,UY,Uruguay,810000.0,EUR,https://api.sofascore.app/api/v1/player/340087/image
Fabio Pereyra,fabio-pereyra,F. Pereyra,D,186.0,Right,43,943995,6.0,1990-01-31,2024-12-31,7629,390000.0,AR,Argentina,390000.0,EUR,https://api.sofascore.app/api/v1/player/943995/image
Nahuel Losada,nahuel-losada,N. Losada,G,188.0,Right,40,384552,25.0,1993-04-17,2025-12-31,3203,1900000.0,AR,Argentina,1900000.0,EUR,https://api.sofascore.app/api/v1/player/384552/image
Tomás Marchiori,tomas-marchiori,T. Marchiori,G,186.0,Right,25,898750,1.0,1995-01-20,2024-12-31,36833,1900000.0,AR,Argentina,1900000.0,EUR,https://api.sofascore.app/api/v1/player/898750/image
Esequiel Barco,esequiel-barco,E. Barco,M,167.0,Right,1520,848473,21.0,1999-03-29,2023-12-31,3211,8900000.0,AR,Argentina,8900000.0,EUR,https://api.sofascore.app/api/v1/player/848473/image
Gastón Lódico,gaston-lodico,G. Lódico,M,173.0,Right,156,922460,19.0,1998-05-28,2023-12-31,4937,1500000.0,AR,Argentina,1500000.0,EUR,https://api.sofascore.app/api/v1/player/922460/image
Enrique Bologna,enrique-bologna,E. Bologna,G,189.0,Right,80,107418,23.0,1982-02-13,2023-12-31,36839,24000.0,AR,Argentina,24000.0,EUR,https://api.sofascore.app/api/v1/player/107418/image
Ignacio Malcorra,ignacio-malcorra,I. Malcorra,M,170.0,Left,144,789427,10.0,1987-07-24,2023-12-31,3217,530000.0,AR,Argentina,530000.0,EUR,https://api.sofascore.app/api/v1/player/789427/image
Tomás Belmonte,tomas-belmonte,T. Belmonte,M,178.0,Right,276,881169,5.0,1998-05-27,,1931,5400000.0,AR,Argentina,5400000.0,EUR,https://api.sofascore.app/api/v1/player/881169/image
Gonzalo Piovi,gonzalo-piovi,G. Piovi,D,178.0,Left,209,340537,33.0,1994-09-08,2026-12-31,3215,1900000.0,AR,Argentina,1900000.0,EUR,https://api.sofascore.app/api/v1/player/340537/image
Nazareno Colombo,nazareno-colombo,N. Colombo,D,184.0,Right,106,913596,6.0,1999-03-20,2027-12-31,3215,3600000.0,AR,Argentina,3600000.0,EUR,https://api.sofascore.app/api/v1/player/913596/image
Francisco Álvarez,francisco-alvarez,F. Álvarez,D,180.0,Right,72,871788,16.0,2000-02-26,2023-12-31,65668,1700000.0,AR,Argentina,1700000.0,EUR,https://api.sofascore.app/api/v1/player/871788/image
Aníbal Moreno,anibal-moreno,A. Moreno,M,177.0,Right,581,977677,29.0,1999-05-13,2025-12-31,3215,8300000.0,AR,Argentina,8300000.0,EUR,https://api.sofascore.app/api/v1/player/977677/image
Francisco González,francisco-gonzalez,F. González,F,170.0,Both,131,983528,44.0,2001-04-06,2024-12-31,3212,950000.0,AR,Argentina,950000.0,EUR,https://api.sofascore.app/api/v1/player/983528/image
Juan Gabriel Rodríguez,juan-gabriel-rodriguez,J. G. Rodríguez,D,186.0,Right,45,155714,6.0,1994-02-28,2023-12-31,3210,830000.0,AR,Argentina,830000.0,EUR,https://api.sofascore.app/api/v1/player/155714/image
José Mauri,jose-mauri,J. Mauri,M,169.0,Right,124,284359,11.0,1996-05-16,2023-12-31,42338,350000.0,IT,Italy,350000.0,EUR,https://api.sofascore.app/api/v1/player/284359/image
Jorge Carranza,jorge-carranza,J. C. Carranza,G,187.0,Right,15,340431,1.0,1981-05-07,2023-12-31,4937,26000.0,AR,Argentina,26000.0,EUR,https://api.sofascore.app/api/v1/player/340431/image
Matías Catalán,matias-catalan,M. Catalán,D,182.0,Right,272,249643,4.0,1992-08-19,2025-12-31,3210,1900000.0,CL,Chile,1900000.0,EUR,https://api.sofascore.app/api/v1/player/249643/image
Franco Armani,franco-armani,F. Armani,G,189.0,Right,2376,221140,1.0,1986-10-16,2024-12-31,3211,1500000.0,AR,Argentina,1500000.0,EUR,https://api.sofascore.app/api/v1/player/221140/image
Federico Fattori,federico-fattori,F. Fattori,M,178.0,Right,26,789640,24.0,1992-07-22,2025-12-31,7629,1400000.0,AR,Argentina,1400000.0,EUR,https://api.sofascore.app/api/v1/player/789640/image
Sebastián Villa,sebastian-villa,S. Villa,F,178.0,Right,1140,839983,22.0,1996-05-19,2026-06-30,3281,5200000.0,CO,Colombia,5200000.0,EUR,https://api.sofascore.app/api/v1/player/839983/image
Juan Cáceres,juan-caceres,J. Cáceres,D,173.0,Right,157,989801,24.0,2000-06-01,2023-12-31,3218,905000.0,PY,Paraguay,905000.0,EUR,https://api.sofascore.app/api/v1/player/989801/image
Brahian Alemán,brahian-aleman,B. Alemán,M,176.0,Left,201,122912,10.0,1989-12-23,2024-06-30,168084,860000.0,UY,Uruguay,860000.0,EUR,https://api.sofascore.app/api/v1/player/122912/image
Gabriel Díaz,gabriel-diaz,G. Díaz,D,175.0,Left,47,1199053,33.0,2000-04-19,2023-12-31,42338,850000.0,AR,Argentina,850000.0,EUR,https://api.sofascore.app/api/v1/player/1199053/image
Imanol Machuca,imanol-machuca,I. Machuca,M,169.0,Right,380,974698,39.0,2000-01-15,2027-12-31,2020,2600000.0,AR,Argentina,2600000.0,EUR,https://api.sofascore.app/api/v1/player/974698/image
Gastón Benedetti,gaston-benedetti,G. Benedetti,M,174.0,Left,132,1018407,13.0,2001-03-29,2024-12-31,3206,2800000.0,AR,Argentina,2800000.0,EUR,https://api.sofascore.app/api/v1/player/1018407/image
Santiago Núñez,santiago-nunez,S. Núñez,D,187.0,Right,94,1161819,4.0,2000-04-29,2025-12-31,3206,1900000.0,AR,Argentina,1900000.0,EUR,https://api.sofascore.app/api/v1/player/1161819/image
Enzo Díaz,enzo-diaz,E. Díaz,D,175.0,Left,214,932937,13.0,1995-12-07,2025-12-31,3211,4300000.0,AR,Argentina,4300000.0,EUR,https://api.sofascore.app/api/v1/player/932937/image
Mauro Pittón,mauro-pitton,M. Pittón,M,181.0,Right,30,796958,28.0,1994-08-08,2023-12-31,65676,1600000.0,AR,Argentina,1600000.0,EUR,https://api.sofascore.app/api/v1/player/796958/image
Agustin Sant'Anna,agustin-santanna,A. Sant'Anna,D,170.0,Right,126,869726,32.0,1997-09-27,2023-12-31,36839,2900000.0,UY,Uruguay,2900000.0,EUR,https://api.sofascore.app/api/v1/player/869726/image
Emanuel Mammana,emanuel-mammana,E. Mammana,D,183.0,Right,349,358914,23.0,1996-02-10,2023-12-31,3211,3600000.0,AR,Argentina,3600000.0,EUR,https://api.sofascore.app/api/v1/player/358914/image
Federico Rasmussen,federico-rasmussen,F. Rasmussen,D,191.0,Left,14,932903,23.0,1992-03-04,2023-12-31,6074,325000.0,AR,Argentina,325000.0,EUR,https://api.sofascore.app/api/v1/player/932903/image
Diego Valoyes,diego-valoyes,D. Valoyes,M,182.0,Right,648,822088,7.0,1996-09-22,,201624,5000000.0,CO,Colombia,5000000.0,EUR,https://api.sofascore.app/api/v1/player/822088/image
Gastón Togni,gaston-togni,G. Togni,M,180.0,Left,219,868361,11.0,1997-09-20,2026-12-31,36839,2300000.0,AR,Argentina,2300000.0,EUR,https://api.sofascore.app/api/v1/player/868361/image
Gustavo Velázquez,gustavo-velazquez,G. Velázquez,D,179.0,Right,116,805427,25.0,1991-04-17,2025-12-31,3212,1800000.0,PY,Paraguay,1800000.0,EUR,https://api.sofascore.app/api/v1/player/805427/image
Ramiro Sordo,ramiro-sordo,R. Sordo,F,174.0,Right,197,1087008,26.0,2000-06-29,2025-12-31,3212,2300000.0,AR,Argentina,2300000.0,EUR,https://api.sofascore.app/api/v1/player/1087008/image
Nahuel Barrios,nahuel-barrios,N. Barrios,F,156.0,Right,322,875236,10.0,1998-05-07,2024-12-31,3201,4600000.0,AR,Argentina,4600000.0,EUR,https://api.sofascore.app/api/v1/player/875236/image
Fernando Zuqui,fernando-zuqui,F. Zuqui,M,170.0,Right,61,284729,8.0,1991-11-27,2024-12-31,3206,1700000.0,AR,Argentina,1700000.0,EUR,https://api.sofascore.app/api/v1/player/284729/image
Guillermo Ortíz,guillermo-ortiz,G. Ortíz,D,184.0,Left,13,250001,42.0,1992-08-09,2024-12-31,3212,720000.0,AR,Argentina,720000.0,EUR,https://api.sofascore.app/api/v1/player/250001/image
Luciano Gondou,luciano-gondou,L. Gondou,F,189.0,Left,458,1096378,32.0,2001-06-22,2027-12-31,3216,7000000.0,AR,Argentina,7000000.0,EUR,https://api.sofascore.app/api/v1/player/1096378/image
Milton Casco,milton-casco,M. Casco,D,169.0,Right,286,122710,20.0,1988-04-11,2025-12-31,3211,690000.0,AR,Argentina,690000.0,EUR,https://api.sofascore.app/api/v1/player/122710/image
José Sosa,jose-sosa,J. Sosa,M,179.0,Right,348,22981,7.0,1985-06-19,2024-12-31,3206,215000.0,AR,Argentina,215000.0,EUR,https://api.sofascore.app/api/v1/player/22981/image
